r	n	s	m
28	85	4	18
23	152	8	57
35	145	13	46
31	111	16	50
22	269	6	82
76	529	13	165
92	462	29	153
88	408	29	139
23	152	12	64
115	481	34	151
52	219	12	64
48	328	15	114
19	105	16	49
14	99	5	37
73	250	15	85
84	277	29	98
49	269	14	104
55	494	15	122
81	427	30	147
33	400	15	161
86	386	42	151
60	296	27	105
73	380	31	133
45	340	13	121
101	407	40	149
22	191	11	62
70	352	29	127
36	155	11	60
15	66	7	27
32	174	15	66
58	326	26	101
47	259	14	80
24	96	7	33
48	462	16	131
90	393	22	122
51	303	21	119
69	394	22	137
48	282	23	111
58	327	19	124
55	332	24	118
108	364	38	124
30	128	12	38
29	115	8	45
69	337	15	117
67	246	23	76
18	103	6	36
36	206	16	64
38	474	16	157
39	263	9	65
18	114	6	37
24	126	7	47
39	279	11	66
5	89	4	28
73	392	14	137
80	463	21	146
15	96	4	32
61	381	16	112
23	133	9	46
29	98	13	39
105	350	34	108
18	185	12	75
29	570	6	125
52	437	16	136
52	431	25	170
97	401	51	210
58	387	20	142
20	153	16	72
85	408	41	160
25	201	3	50
51	208	18	80
73	262	23	87
70	401	18	112
80	288	28	107
23	433	13	144
50	227	17	75
80	434	19	134
149	426	46	142
23	84	12	35
84	251	24	85
66	204	15	63
25	95	18	52
27	157	9	47
40	410	13	125
97	470	28	130
57	420	15	133
31	130	18	72
41	199	16	60
67	380	46	211
85	383	39	160
70	298	16	104
72	236	19	72
37	123	14	58
51	260	16	72
25	133	13	63
15	76	5	23
12	76	4	28
39	219	6	65
22	93	12	47
9	59	1	32
25	134	6	41
40	156	17	46
55	369	19	133
55	312	20	133
39	149	13	59
36	92	6	32
26	105	10	50
121	461	31	117
31	409	9	107
31	309	12	109
44	188	14	64
55	442	23	178
53	305	13	100
49	334	14	109
12	175	9	48
33	301	12	90
8	104	2	40
21	98	5	32
63	279	20	72
74	304	29	95
58	353	20	105
59	370	23	128
17	119	7	42
31	286	11	83
103	367	40	130
28	112	4	33
73	354	24	113
43	204	18	67
43	440	17	127
62	449	16	153
40	449	12	152
65	349	27	159
98	354	52	152
39	168	24	80
83	321	35	129
12	101	8	37
29	203	9	55
17	140	6	52
58	271	25	122
33	153	8	51
43	150	12	54
31	124	6	53
11	85	3	25
30	135	11	55
19	69	8	25
34	122	12	39
29	128	15	46
12	60	9	31
32	96	11	25
35	404	17	120
39	499	6	141
61	444	19	174
84	370	37	182
43	345	13	119
37	206	14	87
32	272	13	120
5	69	3	26
65	371	29	122
23	183	8	41
104	381	25	148
28	135	9	54
13	140	6	53
47	380	13	99
44	283	23	123
13	76	11	45
44	265	17	87
25	109	9	49
14	69	8	26
61	530	9	155
93	378	30	142
79	424	35	168
37	409	12	140
70	367	16	120
68	442	19	160
34	325	7	94
38	137	12	36
19	103	12	50
40	160	21	51
23	84	10	30
13	62	8	28
31	153	10	44
27	137	2	27
30	107	4	36
27	269	12	82
13	94	4	21
36	231	15	71
26	151	12	46
25	189	15	82
97	353	36	128
60	456	20	151
47	425	15	129
93	462	35	150
127	506	41	131
22	108	7	32
22	121	4	28
45	342	19	126
17	85	5	21
42	294	10	83
85	527	20	120
73	370	15	111
110	443	42	180
90	438	38	147
71	279	29	115
33	162	15	69
33	262	15	95
22	159	10	63
50	190	20	63
85	296	34	98
46	226	28	98
22	75	9	27
72	522	22	123
32	284	7	81
78	390	23	160
91	413	40	162
29	287	17	133
42	329	14	80
40	308	16	105
39	189	24	92
13	109	6	26
29	118	9	48
63	216	22	76
48	134	14	36
56	525	17	140
30	393	9	123
94	425	22	156
95	355	49	157
93	315	37	139
53	395	22	145
42	342	27	139
50	280	18	69
31	176	9	94
37	148	7	32
58	218	22	84
19	127	2	40
30	468	11	111
52	514	19	150
89	370	25	129
121	418	48	146
95	302	34	119
35	413	17	142
72	297	20	93
28	149	8	36
29	168	10	67
50	285	20	104
58	251	20	77
14	87	8	29
46	212	18	77
12	56	13	41
64	191	14	39
22	146	5	34
24	77	7	30
16	99	1	14
33	124	14	53
33	216	12	80
14	123	9	40
58	363	38	188
28	97	10	33
28	98	5	41
21	68	9	28
19	128	9	37
26	84	8	22
40	193	20	84
27	215	5	47
28	199	12	67
22	104	7	28
19	94	12	39
6	95	1	22
16	89	4	20
10	64	11	27
46	120	22	40
58	173	13	44
