Game	AB	R	H	X2B	X3B	HR	RBI	BB	SO
102	4	2	3	2	0	0	2	1	0
103	3	1	1	0	0	0	0	1	0
104	5	1	1	0	0	0	0	0	1
105	4	0	1	0	0	0	0	0	1
106	4	0	1	0	0	0	0	0	0
107	5	1	1	0	0	1	1	0	1
108	5	0	1	0	0	0	0	0	0
109	5	1	2	1	0	0	0	0	3
110	5	1	1	1	0	0	0	0	0
111	4	0	1	1	0	0	0	0	1
112	5	0	1	0	0	0	0	0	1
113	4	0	0	0	0	0	0	0	0
114	4	1	0	0	0	0	0	0	2
115	3	0	1	1	0	0	0	1	0
116	4	0	1	0	0	0	0	0	2
117	3	0	0	0	0	0	0	0	0
118	4	0	2	0	0	0	1	0	0
119	4	2	2	0	0	1	1	1	0
120	4	0	1	1	0	0	0	0	0
121	4	1	1	0	0	0	1	1	0
122	4	2	2	0	0	1	1	1	1
123	4	2	1	0	0	0	0	2	1
124	4	0	0	0	0	0	0	1	0
125	2	0	0	0	0	0	0	0	0
126	4	0	3	1	0	0	1	0	0
127	3	2	0	0	0	0	0	2	1
128	4	1	1	0	0	1	1	0	1
129	4	0	0	0	0	0	0	0	0
130	3	3	2	1	0	0	0	2	0
131	3	2	1	0	0	0	1	1	0
132	5	1	3	1	0	0	2	0	0
133	4	1	2	0	0	0	1	0	2
134	5	2	3	2	0	1	2	0	0
135	5	1	1	0	0	1	3	0	1
136	5	2	2	1	0	0	1	0	0
137	3	2	1	0	0	0	0	3	1
138	4	1	2	0	0	0	0	0	0
139	4	1	1	0	0	0	2	0	0
140	4	2	3	2	0	1	1	0	1
141	4	0	0	0	0	0	0	0	1
142	3	3	2	1	0	0	0	2	0
143	5	2	3	0	0	1	1	0	0
144	5	0	1	0	0	0	0	0	0
145	4	0	2	0	0	0	1	0	1
146	3	0	0	0	0	0	0	2	0
147	4	1	3	0	0	1	1	1	0
148	5	0	1	0	0	0	0	0	0
149	4	0	0	0	0	0	0	0	1
150	3	0	0	0	0	0	0	0	0
151	4	2	2	1	0	0	1	0	1
152	5	2	2	1	0	0	0	0	2
153	4	0	1	0	0	0	0	0	1
154	3	0	2	1	0	0	1	0	0
