Player	Year	Age	G	AB	R	H	2B	3B	HR	RBI	BB	SO
Ott	1937	28	151	545	99	160	28	2	31	95	102	69
Ott	1938	29	150	527	116	164	23	6	36	116	118	47
Ott	1939	30	125	396	85	122	23	2	27	80	100	50
Ott	1940	31	151	536	89	155	27	3	19	79	100	50
Ott	1941	32	148	525	89	150	29	0	27	90	100	68
Ott	1942	33	152	549	118	162	21	0	30	93	109	61
Ott	1943	34	125	380	65	89	12	2	18	47	95	48
Ott	1944	35	120	399	91	115	16	4	26	82	90	47
Ott	1945	36	135	451	73	139	23	0	21	79	71	41
Ott	1946	37	31	68	2	5	1	0	1	4	8	15
Ott	1947	38	4	4	0	0	0	0	0	0	0	0
Mays	1951	20	121	464	59	127	22	5	20	68	57	60
Mays	1952	21	34	127	17	30	2	4	4	23	16	17
Mays	1954	23	151	565	119	195	33	13	41	110	66	57
Mays	1955	24	152	580	123	185	18	13	51	127	79	60
Mays	1956	25	152	578	101	171	27	8	36	84	68	65
Mays	1957	26	152	585	112	195	26	20	35	97	76	62
Mays	1958	27	152	600	121	208	33	11	29	96	78	56
Mays	1959	28	151	575	125	180	43	5	34	104	65	58
Mays	1960	29	153	595	107	190	29	12	29	103	61	70
Mays	1961	30	154	572	129	176	32	3	40	123	81	77
Mays	1962	31	162	621	130	189	36	5	49	141	78	85
Mays	1963	32	157	596	115	187	32	7	38	103	66	83
Mays	1964	33	157	578	121	171	21	9	47	111	82	72
Mays	1965	34	157	558	118	177	21	3	52	112	76	71
Mays	1966	35	152	552	99	159	29	4	37	103	70	81
Mays	1967	36	141	486	83	128	22	2	22	70	51	92
Mays	1968	37	148	498	84	144	20	5	23	79	67	81
Mays	1969	38	117	403	64	114	17	3	13	58	49	71
Mays	1970	39	139	478	94	139	15	2	28	83	79	90
Mays	1971	40	136	417	82	113	24	5	18	61	112	123
Mays	1972	41	88	244	35	61	11	1	8	22	60	48
Mays	1973	42	66	209	24	44	10	0	6	25	27	47
Mantle	1951	19	96	341	61	91	11	5	13	65	43	74
Mantle	1952	20	142	549	94	171	37	7	23	87	75	111
Mantle	1953	21	127	461	105	136	24	3	21	92	79	90
Mantle	1954	22	146	543	129	163	17	12	27	102	102	107
Mantle	1955	23	147	517	121	158	25	11	37	99	113	97
Mantle	1956	24	150	533	132	188	22	5	52	130	112	99
Mantle	1957	25	144	474	121	173	28	6	34	94	146	75
Mantle	1958	26	150	519	127	158	21	1	42	97	129	120
Mantle	1959	27	144	541	104	154	23	4	31	75	93	126
Mantle	1960	28	153	527	119	145	17	6	40	94	111	125
Mantle	1961	29	153	514	132	163	16	6	54	128	126	112
Mantle	1962	30	123	377	96	121	15	1	30	89	122	78
Mantle	1963	31	65	172	40	54	8	0	15	35	40	32
Mantle	1964	32	143	465	92	141	25	2	35	111	99	102
Mantle	1965	33	122	361	44	92	12	1	19	46	73	76
Mantle	1966	34	108	333	40	96	12	1	23	56	57	76
Mantle	1967	35	144	440	63	108	17	0	22	55	107	113
Mantle	1968	36	144	435	57	103	14	1	18	54	106	97
Schmidt	1972	22	13	34	2	7	0	0	1	3	5	15
Schmidt	1973	23	132	367	43	72	11	0	18	52	62	136
Schmidt	1974	24	162	568	108	160	28	7	36	116	106	138
Schmidt	1975	25	158	562	93	140	34	3	38	95	101	180
Schmidt	1976	26	160	584	112	153	31	4	38	107	100	149
Schmidt	1977	27	154	544	114	149	27	11	38	101	104	122
Schmidt	1978	28	145	513	93	129	27	2	21	78	91	103
Schmidt	1979	29	160	541	109	137	25	4	45	114	120	115
Schmidt	1980	30	150	548	104	157	25	8	48	121	89	119
Schmidt	1981	31	102	354	78	112	19	2	31	91	73	71
Schmidt	1982	32	148	514	108	144	26	3	35	87	107	131
Schmidt	1983	33	154	534	104	136	16	4	40	109	128	148
Schmidt	1984	34	151	528	93	146	23	3	36	106	92	116
Schmidt	1985	35	158	549	89	152	31	5	33	93	87	117
Schmidt	1986	36	160	552	97	160	29	1	37	119	89	84
Schmidt	1987	37	147	522	88	153	28	0	35	113	83	80
Schmidt	1988	38	108	390	52	97	21	2	12	62	49	42
Schmidt	1989	39	42	148	19	30	7	0	6	28	21	17
Ruth	1914	19	5	10	1	2	1	0	0	2	0	4
Ruth	1915	20	42	92	16	29	10	1	4	21	9	23
Ruth	1916	21	67	136	18	37	5	3	3	15	10	23
Ruth	1917	22	52	123	14	40	6	3	2	12	12	18
Ruth	1918	23	95	317	50	95	26	11	11	66	58	58
Ruth	1919	24	130	432	103	139	34	12	29	114	101	58
Ruth	1920	25	142	457	158	172	36	9	54	137	150	80
Ruth	1921	26	152	540	177	204	44	16	59	171	145	81
Ruth	1922	27	110	406	94	128	24	8	35	99	84	80
Ruth	1923	28	152	522	152	205	45	13	41	131	170	93
Ruth	1924	29	153	529	143	200	39	7	46	121	142	81
Ruth	1925	30	98	359	61	104	12	2	25	66	59	68
Ruth	1926	31	152	495	139	184	30	5	47	150	144	76
Ruth	1927	32	151	540	158	192	29	8	60	164	137	89
Ruth	1928	33	154	536	163	173	29	8	54	142	137	87
Ruth	1929	34	135	499	121	172	26	6	46	154	72	60
Ruth	1930	35	145	518	150	186	28	9	49	153	136	61
Ruth	1931	36	145	534	149	199	31	3	46	163	128	51
Ruth	1932	37	133	457	120	156	13	5	41	137	130	62
Ruth	1933	38	137	459	97	138	21	3	34	103	114	90
Ruth	1934	39	125	365	78	105	17	4	22	84	104	63
Ruth	1935	40	28	72	13	13	0	0	6	12	20	24
Killebrew	1954	18	9	13	1	4	1	0	0	3	2	3
Killebrew	1955	19	38	80	12	16	1	0	4	7	9	31
Killebrew	1956	20	44	99	10	22	2	0	5	13	10	39
Killebrew	1957	21	9	31	4	9	2	0	2	5	2	8
Killebrew	1958	22	13	31	2	6	0	0	0	2	0	12
Killebrew	1959	23	153	546	98	132	20	2	42	105	90	116
Killebrew	1960	24	124	442	84	122	19	1	31	80	71	106
Killebrew	1961	25	150	541	94	156	20	7	46	122	107	109
Killebrew	1962	26	155	552	85	134	21	1	48	126	106	142
Killebrew	1963	27	142	515	88	133	18	0	45	96	72	105
Killebrew	1964	28	158	577	95	156	11	1	49	111	93	135
Killebrew	1965	29	113	401	78	108	16	1	25	75	72	69
Killebrew	1966	30	162	569	89	160	27	1	39	110	103	98
Killebrew	1967	31	163	547	105	147	24	1	44	113	131	111
Killebrew	1968	32	100	295	40	62	7	2	17	40	70	70
Killebrew	1969	33	162	555	106	153	20	2	49	140	145	84
Killebrew	1970	34	157	527	96	143	20	1	41	113	128	84
Killebrew	1971	35	147	500	61	127	19	1	28	119	114	96
Killebrew	1972	36	139	433	53	100	13	2	26	74	94	91
Killebrew	1973	37	69	248	29	60	9	1	5	32	41	59
Killebrew	1974	38	122	333	28	74	7	0	13	54	45	61
Killebrew	1975	39	106	312	25	62	13	0	14	44	54	70
McCovey	1959	21	52	192	32	68	9	5	13	38	22	35
McCovey	1960	22	101	260	37	62	15	3	13	51	45	53
McCovey	1961	23	106	328	59	89	12	3	18	50	37	60
McCovey	1962	24	91	229	41	67	6	1	20	54	29	35
McCovey	1963	25	152	564	103	158	19	5	44	102	50	119
McCovey	1964	26	130	364	55	80	14	1	18	54	61	73
McCovey	1965	27	160	540	93	149	17	4	39	92	88	118
McCovey	1966	28	150	502	85	148	26	6	36	96	76	100
McCovey	1967	29	135	456	73	126	17	4	31	91	71	110
McCovey	1968	30	148	523	81	153	16	4	36	105	72	71
McCovey	1969	31	149	491	101	157	26	2	45	126	121	66
McCovey	1970	32	152	495	98	143	39	2	39	126	137	75
McCovey	1971	33	105	329	45	91	13	0	18	70	64	57
McCovey	1972	34	81	263	30	56	8	0	14	35	38	45
McCovey	1973	35	130	383	52	102	14	3	29	75	105	78
McCovey	1974	36	128	344	53	87	19	1	22	63	96	76
McCovey	1975	37	122	413	43	104	17	0	23	68	57	80
McCovey	1976	38	82	226	20	46	9	0	7	36	24	43
McCovey	1977	39	141	478	54	134	21	0	28	86	67	106
McCovey	1978	40	108	351	32	80	19	2	12	64	36	57
McCovey	1979	41	117	353	34	88	9	0	15	57	36	70
McCovey	1980	42	48	113	8	23	8	0	1	16	13	23
