Student	Height	Gender	Shoes	Number	Dvds	ToSleep	WakeUp	Haircut	Job	Drink
81	62	female	70	4	30	1.5	11	25	22.5	water
82	73	male	5	7	40	4.5	10.5	13	20	pop
83	62	female	23	9	48	1.5	10.5	50	9	water
84	61	female	15	2	10	3.5	8	30	15	water
85	70	male	12	5	27.5	2.5	10.5	14.99	30	milk
86	68	female	35	7	9	0.5	10	57	0	pop
87	60	female	35	8	100	1.5	8.5	6.5	10	water
88	68	female	35	3	12	1.5	9	65	30	water
89	71	male	26	2	100	3.5	8.5	0	30	pop
90	56	female	20	6	20	1.5	8	10	10	water
91	67	female	24	4	97	0.5	9	18.75	15	water
92	69	female	6	7	1	-1	6.5	12	10	water
93	74	male	4	7	25	0.5	8.5	0	NA	milk
94	72	female	16	6	20	2	7.5	12	12	water
95	76	female	20	7	30	0	7	25	10	pop
96	76	male	8	4	20	2	9.5	15	0	water
97	70	male	3	6	9	2	9.5	15	0	pop
98	64	female	20	8	35	0	7	0	10	pop
99	72	female	10	6	10	0.5	7	35	0	pop
100	66	female	20	6	10	1.5	8	30	0	water
101	63	female	8	2	10	1	9	100	20	water
102	63	female	15	8	20	0	6.5	10	10	pop
103	64	female	20	6	157	1.5	7	60	20	water
104	72	male	4	7	10	3	8	13	15	pop
105	69	female	6	6	10	0	7	0	0	milk
106	54	female	20	7	15	1	8	90	0	milk
107	64	female	10	7	15	1.5	7.5	30	0	water
108	62	female	18	7	12	5	9	0	10	water
109	70	male	5	7	20	0.5	8.5	0	0	water
110	64	female	9	7	200	1	10.5	12	15	water
111	75	male	5	2	50	2.5	11.5	0	20	water
112	NA	female	10	8	7	0	7.5	0	30	pop
113	64	female	15	3	7	-1	7.5	40	0	water
114	71	male	5	4	0	0	6	0	NA	milk
115	66	female	NA	9	30	-0.5	7.5	25	20	milk
116	71	male	4	7	50	-1	7	13	NA	milk
117	65	female	15	7	30	0.5	6.5	NA	15	water
118	72	male	4	7	25	1	7.5	11	7	milk
119	64.5	female	30	6	17	1	7	145	10	pop
120	65	female	9	4	75	1	7.5	0	NA	water
121	74	male	2	7	20	-0.5	8	18	NA	pop
122	61	female	15	8	0	0.5	8	0	10	pop
123	69	female	30	4	50	0.5	7	145	0	pop
124	70	male	4	6	8	2	7.5	14	0	pop
125	74	male	4	8	200	1.5	6.5	15	20	water
126	64	female	12	7	25	0	7	40	0	water
127	62	female	10	8	1	0.5	7.5	50	17.5	water
128	70	male	3	3	0	0.5	7.5	12	0	water
129	68	female	7	5	0	1	7	0	20	water
130	62	female	11	6	30	NA	NA	26	40	water
131	64.5	female	17	8	12	-0.5	7.5	14	0	milk
132	67	female	10	4	20	0.5	7.5	15	17.5	water
133	71	male	15	3	50	3.5	7	75	30	pop
134	72	male	2	2	15	1	7.5	0	17.5	milk
135	62	female	50	7	20	0	8	15	15	water
136	65	female	15	5	23	1.5	7.5	NA	20	water
137	68	male	4	2	7	3.5	8	12	14	water
138	66	female	12	6	20	0.5	7	33	0	water
139	62	female	NA	9	NA	-2	8.5	NA	0	water
140	70.5	male	8	2	20	1.5	8.5	0	12	NA
141	70	male	4	8	3	0.5	9	12	NA	pop
142	67	female	8	8	20	-1	7.5	10	20	water
143	73	male	10	4	15	2	8	13	10	water
144	66	female	7	8	5	1.5	8	85	15	pop
145	68	male	9	5	25	-0.5	7.5	10	20	milk
146	61	female	18	6	NA	1.5	7.5	14.6	0	milk
147	63	female	NA	5	3	0	8	35	17.5	water
148	74	male	5	2	5	1.5	8	14	15	water
149	66	female	7	4	0	1	7	45	NA	pop
150	69	male	3	7	30	0.5	6.5	20	NA	water
151	63	male	3	5	17.5	0	8	13	0	water
152	72	male	8	3	12	1	7.5	10	20	water
153	67	female	15	9	20	1	8	25	12	pop
154	71	male	3	6	35	-0.5	7	15	0	water
155	75	male	15	7	200	-1	8	13	20	NA
156	62.5	female	20	3	10	1.5	8.5	NA	10	water
157	59.75	female	47	4	2	0	8	NA	0	water
158	64	female	25	3	40	-1	8.5	10	0	water
159	67	female	20	7	20	3.5	8.5	20	17.5	water
160	70	male	5	7	80	2.5	7.5	0	45	water
161	77	male	5	9	3	1.5	8.5	0	15	milk
162	69	male	4	6	50	1.5	8.5	18	0	milk
163	54	female	5	6	2	-0.5	6.5	30	20	water
164	60	female	40	2	10	0.5	8.5	75	0	milk
165	68	male	3	7	7	1	9	13	0	water
166	69	male	7	5	6	0	8	19	0	water
167	63	female	12	5	2	2	9	17	14	milk
168	75	male	10	8	10	1	9	15	0	water
169	70	male	4	6	14	0.5	8.5	9	NA	pop
170	69	male	5	7	10	0	7.5	15	10	pop
171	63	female	7	8	30	-0.5	7.5	0	0	pop
172	64	female	25	7	15	0.5	8.5	25	15	water
173	65	female	15	5	10	-0.5	6	55	0	pop
174	70	male	7	8	120	0.5	8.5	13	30	pop
175	67	female	40	8	50	-0.5	7	85	30	water
176	75	male	2	7	41	-2	7.5	15	25	water
177	62	female	23	3	25	-0.5	8.5	0	20	milk
178	71	male	3	4	900	2.5	7.5	15	25	milk
179	68	male	15	5	60	-0.5	7	0	20	water
180	66	female	25	6	150	-0.5	6	45	15	water
181	70	male	4	8	10	-0.5	6	0	20	water
182	74	male	6	9	20	-0.5	7	12	20	pop
183	67	female	6	2	200	-1	6.5	15	40	pop
184	64	female	44	6	25	0.5	7	42	20	water
185	68	female	20	2	15	0.5	7	45	0	water
186	64	female	20	7	40	1.5	7	20	30	pop
187	61	female	50	7	NA	2	7	0	0	pop
188	79	male	5	4	7	1	7	10	0	water
189	63	female	4	8	10	1.5	7	0	27.5	water
190	64	female	25	5	20	1.5	7	70	0	milk
191	71	female	45	9	37	2	6.5	90	12	water
192	61	female	NA	7	12	-0.5	7.5	NA	0	water
193	NA	male	3	3	30	0	7.33	0	12	milk
194	NA	male	5	3	15	2	7.5	0	0	NA
195	61	female	10	8	20	-0.5	6.5	10	8	water
196	71	female	70	7	20	-1.5	7.5	NA	20	pop
197	60.5	female	NA	5	10	1.5	7	80	17.5	milk
198	58.5	female	20	9	0	-0.5	7	35	22.5	pop
199	66.5	female	8	9	40	2.5	9	50	30	milk
200	66	female	20	3	10	2	7.5	45	13	water
201	64	female	36	3	36	3.5	8.5	25	8	water
202	60	female	35	5	100	1.5	8.6	70	10	water
203	65	female	20	5	200	-0.5	7.25	50	10	water
204	63	female	30	8	30	1.5	8	15	0	water
205	69	female	8	2	5	0	8	0	10	water
206	66	female	25	5	150	0.5	9.5	90	0	pop
207	67	female	38	5	53	0.5	9	160	0	pop
208	62	female	50	4	7	-0.5	8	30	15	water
209	67	female	49	8	36	2	8.5	109	0	milk
210	65	female	20	7	20	2.5	9.5	30	NA	water
211	69	male	7	3	11	1.5	8	13	4	milk
212	67	female	10	3	20	0.5	8	35	0	water
213	64	female	27	9	11	1	10	35	15	milk
214	67	female	25	7	30	1.5	8.25	12	17.5	water
215	69	male	2	9	31	2	8.5	12	10	milk
216	72	male	7	5	50	1.5	12	25	0	water
217	65	male	13	7	17	1.5	8.5	15	12	milk
218	64	female	30	6	2	0.3	7.9	0	22.5	water
219	62	male	9	8	45	2.5	10.5	14	15	pop
220	64	female	17	6	12	1.5	9.5	25	0	water
221	66	female	30	7	4	1.5	9.5	NA	0	water
222	64	female	10	7	250	-0.5	6.5	10	26	milk
223	66	female	15	2	7	0	8.5	20	80	water
224	65.5	female	4	6	40	-0.5	8.5	25	30	water
225	66	male	4	7	10	1	10.5	10	10	pop
226	74	male	4	7	NA	1.5	6.5	16	25	milk
227	68	male	3	9	20	1.5	8.5	25	0	milk
228	67	male	4	7	12	1.5	8.5	0	10	water
229	71	male	4	5	12	2.5	11.5	10	40	milk
230	71.5	male	5	7	15	2.5	9.5	0	10	water
231	70	male	10	6	8	3	10	0	20	pop
232	63	female	13	8	35	1	8	67	0	pop
233	70	male	2	4	8	0.5	7.5	0	10	pop
234	63	female	20	10	2	5	8.5	0	20	water
235	68	female	30	7	40	1	9	30	0	water
236	67	female	15	8	20	3.5	10.75	35	10	milk
237	73	male	2	5	21	0	8	13.99	0	pop
238	70	male	6	8	25	1	10.5	12	0	milk
239	68	male	40	6	28	-1	6	0	4	water
240	71	male	4	7	50	1	6	30	40	milk
241	69	female	15	9	12	-0.5	6.5	10	45	water
242	72	male	5	7	20	1.5	10.5	0	0	water
243	72	male	11	5	175	2.5	9	14	42.5	pop
244	70	male	8	5	50	2	10	10	0	water
245	60	female	22	5	10	3	11.5	130	6.5	water
246	62	female	25	8	2	1.5	10.5	50	10	water
247	68	female	10	3	40	-1	8.5	15	12	pop
248	72	male	6	4	40	2.5	10	15	0	pop
249	69	female	35	8	50	0.5	10	50	11	water
250	70	male	25	7	60	0	8.5	20	11	water
251	61	female	33	5	20	0.5	9.5	35	15	pop
252	66	female	15	3	12	2.5	9.5	14	0	water
253	73	male	10	7	130	0.5	8.5	15	0	water
254	70	female	5	3	30	1	10	0	17.5	milk
255	71	female	10	6	14	2.5	9	20	20	water
256	72	male	6	8	10	1.5	8.5	13	0	pop
257	66	female	100	2	50	3	8.5	30	0	water
258	70	male	10	7	24	3.5	9	9	10	pop
259	67	female	10	7	15	3.5	9.5	30	17.5	milk
260	62	female	15	7	40	0	8	30	20	milk
261	62	female	15	3	10	1.5	7.5	40	0	pop
262	64	female	20	5	40	1.5	8.5	40	0	pop
263	67	male	3	4	30	1	11	18	10	water
264	70	male	6	8	50	1.5	7.5	18	40	water
265	70	female	7	8	6	2	9	24	10	water
266	71	male	6	7	60	4	11.5	25	0	pop
267	68	male	2	3	10	4	12	0	10	pop
268	71	male	3	4	NA	1.5	9	17	20	milk
269	65.5	female	30	9	30	1	9	25	12.5	water
270	62.5	female	30	3	50	-0.5	8	23	40	water
271	84	female	15	8	25	2.5	6.5	25	20	water
272	72	male	6	2	25	3.5	12.5	12	NA	water
273	60	female	15	4	100	2.5	9.5	10	10	milk
274	70	male	10	7	0	2.5	7.5	15	10	milk
275	68	male	3	5	42	2.5	8	15	17.5	water
276	71	male	3	1	15	0.5	8	9	0	water
277	62	male	2	7	152	-2.5	2.5	0	35	milk
278	62	female	13	5	15	3.5	10	10	15	milk
279	65	female	20	7	30	3	12	30	25	milk
280	66	female	4	7	20	2.5	10	9	NA	pop
281	60	female	14	6	1	0	7	20	20	water
282	67.5	female	17.5	6	20	0	7	28	0	water
283	58	female	15	5	7	1.5	7.5	2	7	NA
284	64	female	35	7	4	1.5	7.5	50	0	water
285	73	female	6	7	5	2	7.5	15	12	water
286	68	male	1	9	30	2	7.6	13	0	water
287	64	female	30	5	25	0.5	7	16	NA	pop
288	70	male	4	6	13	-0.5	7.5	24	0	milk
289	67	female	15	6	30	0.5	7.5	20	10	water
290	63	female	7	7	50	2	7	11	0	water
291	68	female	NA	2	NA	0.5	7.5	NA	12	pop
292	72	male	6	7	80	0	8	20	0	water
293	73	male	6	5	22.5	-0.5	7.5	0	0	water
294	61	male	6	2	3	-0.5	6.8	0	20	milk
295	60	female	15	3	10	-0.5	7.5	25	0	pop
296	62	female	13.5	6	50	-0.5	6.5	NA	16	milk
297	63	female	NA	6	NA	0.5	6	NA	10	milk
298	66	female	10	8	9	-0.5	6.5	0	37.5	water
299	68	female	40	7	10	1	8	20	1.5	water
300	63	female	25	4	10	-0.5	6.5	15	10	water
301	78	female	15	8	10	0.5	7.5	12	NA	pop
302	67	male	4	8	9	3.5	7.5	13	15	water
303	74	male	6	8	20	-1	NA	11	52	water
304	62	female	13	6	23	0	7.5	0	16	NA
305	67	female	10	7	20	1	8.5	50	10	water
306	63	female	30	7	25	-1.5	8	25	0	water
307	62	female	15	6	NA	0.5	10.5	10	10.5	water
308	64	female	15	4	10	0.5	9.5	0	0	water
309	68	female	0	3	8	0.5	8	27	12.5	water
310	66.929	male	4	3	0	NA	12	0	15	pop
311	72	male	4	7	50	2.5	9.5	12	0	water
312	67.5	female	40	7	15	2	9.5	65	15	water
313	64	female	15	9	20	-0.5	9	45	20	water
314	79	male	4	2	30	0	9	10	0	water
315	66	male	10	7	10	1	6.5	20	0	pop
316	64	female	9	8	NA	1	8	18	17.5	water
317	64	female	10	2	0	0.5	7.5	0	0	water
318	64	female	8	6	30	0	5.5	14	36	water
319	68	male	7	2	60	2	9	0	12.5	milk
320	70	male	7	7	80	0	8.5	0	13.5	milk
321	70	female	10	7	20	-1.5	6	15	0	pop
322	65	female	20	8	10	3.5	8.5	41	15	water
323	62	female	30	7	200	-0.5	7.5	0	6	water
324	67	female	20	3	25	0	8.5	25	NA	water
325	69	male	3	7	10	2	8.5	17	12.5	water
326	74	male	5	1	3	-0.5	9.5	0	30	water
327	65	female	12	7	25	3.5	8	11	15	pop
328	68	male	6	4	20	-0.5	6	0	0	pop
329	60	female	15	2	3	-1.5	9.5	30	0	milk
330	66	female	18	2	1	3	10	0	28	milk
331	65	female	35	7	20	3.5	11	15	25	water
332	68	male	4	8	2	2.5	9	0	1	water
333	67	male	8	7	20	2.5	11	12	0	pop
334	72	male	6	7	0	0.5	9	10	12	pop
335	65	female	40	6	70	0.5	8.5	14	12	pop
336	67	male	8	10	10	0.5	9	10	0	pop
337	72	male	8	3	35	1	8.5	12	0	water
338	67	female	3	7	50	0	10	20	17	milk
339	72	male	5	8	6	1.5	8.5	19	0	water
340	66	male	15	5	20	1.5	8	20	20	water
341	NA	male	5	4	20	5.5	10.5	20	25	pop
342	73	male	7	7	20	1.5	7	14	40	milk
343	71	male	4	7	62	5	12	13	12	pop
344	71	male	2	3	3	0	9	10	0	water
345	72	male	3	7	4	0	9	13	0	water
346	66	female	14	7	15	-0.5	11	20	20	water
347	69	female	20	3	25	-2	5	33	0	pop
348	72	female	4	3	4	2.5	10.5	0	0	water
349	65	female	15	4	9	0.5	7	15	0	water
350	67	female	10	6	20	2.5	8.5	65	15	water
351	65	female	15	4	9	0.5	7	15	0	water
352	65	female	12	6	NA	-0.5	7.5	NA	20	water
353	62	female	12	8	4	1.5	11	20	3.5	water
354	71	male	4	8	85	-0.5	7	20	20	NA
355	63	female	25	3	3	0.5	8.5	70	25	pop
356	65	female	30	2	20	1	7	90	20	pop
357	63	female	NA	7	30	1.5	8.5	110	0	water
358	67	female	20	7	12	0.5	8	24	5	milk
359	69	female	20	7	40	2	9	70	0	water
360	72	female	NA	4	10	2	8.5	8	12	water
361	68	female	NA	7	0	0	8.5	15	35	milk
362	60	female	NA	9	30	1	9.5	80	30	water
363	62	female	NA	7	5	2	8.5	115	17.5	water
364	65	female	21	9	20	-1	9	20	15	pop
365	70	male	37	3	0	0	9	10	15	water
366	66	female	10	2	30	0	7	25	6	water
367	64	female	30	2	5	1.5	9.5	65	15	water
368	70	male	8	2	7	1	10.5	0	15	water
369	67	female	11	5	30	-0.5	8	25	16	water
370	66	female	25	6	20	1.5	7.5	35	10	water
371	67	female	30	3	10	1	8.5	50	12	pop
372	62	female	30	4	18	1	10	25	0	water
373	64	female	13	5	0	-1	8.5	80	NA	water
374	62	female	6	3	40	4	10.5	30	15	milk
375	63	female	25	8	20	-0.5	8.5	32	0	water
376	64	female	20	4	22	0.5	9.5	86	0	water
377	64	female	17.5	3	25	-0.5	9.5	80	25	milk
378	61	female	15	7	20	0	10	30	0	milk
379	64	female	30	4	50	1.5	7.5	25	0	milk
380	62	female	18	7	1000	-0.5	8	45	17.5	water
381	67	female	12	7	75	1.5	7.5	12	11	water
382	65	female	50	3	30	2.5	8.5	0	17.5	water
383	66	male	4	9	20	2.5	8.5	10	22.5	water
384	72	male	8	6	18	0	7.5	17	0	pop
385	64	female	40	4	35	1	9	14	14	water
386	70	male	10	7	2.5	2	10.5	0	0	water
387	67	male	11	4	7	0.5	8.5	13	24	pop
388	63	female	24	9	100	0	8	90	0	water
389	75	male	3	4	120	-1	8	0	20	pop
390	74	male	7	3	40	2	8.5	13	0	milk
391	67	male	1	8	20	1	6.5	9	20	pop
392	62	female	15	7	6	0.5	8.5	25	12.5	water
393	72	female	14	7	15	-1.5	5.5	35	0	water
394	65	female	NA	3	NA	4	9	0	15	NA
395	69	female	50	3	11	1.5	9.5	NA	20	water
396	70	female	20	9	5	1.5	11	35	22	water
397	64	female	27.5	7	35	2.5	7.5	45	17.5	water
398	66	female	35	4	10	-0.5	7.5	17	9	water
399	60.5	female	2	3	0	1.5	5.5	0	0	milk
400	66	female	8	8	15	1	8.5	0	20	water
401	72	male	5	5	20	4	9.5	0	35	pop
402	72	male	5	9	3	1.5	9.5	9	18	milk
403	64	female	15	6	100	0	10	20	10	water
404	65	female	25	7	10	-0.5	7.5	20	15	water
405	62	female	10	5	3	2	9	40	0	water
406	64	female	40	7	20	-0.5	7	0	20	water
407	65	female	35	6	0	2.5	7.5	30	22.5	water
408	68	male	5	7	65	1.5	8	10	17.5	milk
409	73	male	3	5	10	3	11.5	14	12	pop
410	71	male	3	9	75	2.5	10.5	15	8	pop
411	62	female	17	3	10	1.5	9.5	17	15	pop
412	62	female	20	7	25	1.5	8.5	60	3	water
413	62	female	20	5	13	-0.5	9.5	30	NA	pop
414	63	female	10	8	20	0	8.5	25	20	milk
415	70	male	6	7	10	-2	10	12	15	water
416	71	male	4	7	5	4.5	9	0	0	water
417	64	female	10	3	5	3	10.5	75	12	milk
418	64	female	10	3	5	3	10.5	75	12	milk
419	NA	female	20	5	15	0	10	NA	0	pop
420	74	male	5	7	3	2	10	0	0	water
421	64	female	20	6	15	1	9	28	8	milk
422	60	female	35	2	16	0.5	8.5	NA	21	water
423	77	female	12	7	70	2	10	0	15	pop
424	58	female	50	4	10	-1	10	18	20	milk
425	61	female	20	5	15	4.5	9	25	14	water
426	66	male	3	7	0	2	6	0.5	20	water
427	72	male	2	4	5	2.5	8.5	12	0	water
428	70	female	55	6	40	1.5	7.7	22	0	water
429	69	male	5	5	55	2.5	12.5	0	17.5	pop
430	65	female	20	6	10	2.5	11.5	80	0	water
431	69.5	female	12	5	20	1.5	9	15	10	pop
432	72	female	20	3	20	2	8.5	0	20	pop
433	63	female	20	4	30	1.5	7	30	0	pop
434	67	male	8	2	10	0.5	8.5	25	17	milk
435	69	male	4	10	8	-0.5	8.5	21	15	pop
436	73	male	2	3	20	-0.5	9.5	13	12	water
437	70.5	male	3	7	10	2	9.5	10	0	milk
438	60	female	22	5	10	2	7	23	20	pop
439	70	male	4	7	45	0.5	8.5	12	0	water
440	60	female	8	7	20	2	7	30	25	pop
441	68.5	female	20	7	20	0	7	35	0	pop
442	60	female	12	6	5	-1	6.5	30	12	pop
443	59	female	15	3	27.5	-1	7	90	21	water
444	64	female	15	2	50	-0.5	6.5	40	0	water
445	66	female	21	6	10	-1.5	5.5	20	0	water
446	68	female	6	8	25	1	7	0	10	water
447	66	female	10	8	30	0	7.5	30	20	water
448	61	female	8	7	NA	0.5	6.5	NA	20	water
449	74	male	5	1	130	1	7	5	30	pop
450	62	female	NA	7	22	2.5	7	63	0	milk
451	64	female	24	9	35	0.5	7	45	0	water
452	66	female	10	7	15	0	7.5	45	0	water
453	62	female	30	7	10	1	7	120	0	water
454	67	female	35	7	150	2	7	15	30	pop
455	68	male	10	9	30	-1.5	7	25	0	milk
456	61.5	female	15	8	50	3	7.5	35	0	milk
457	70	male	10	7	20	-0.5	7	11	6	pop
458	66	female	15	7	0	0	6.7	NA	15	pop
459	64	female	7	9	20	0.5	7.5	25	0	water
460	67	female	30	5	23	0.5	7.5	15	12	water
461	66	female	6	3	10	-1.5	6	140	50	milk
462	62	female	9	9	6	0	7	0	NA	water
463	62	female	25	9	40	-0.5	7.5	25	NA	milk
464	73	male	4	2	15	3.5	8.5	NA	25	pop
465	64	female	NA	7	20	-1.5	8	45	17.5	water
466	67.5	female	10	2	3	-1	8	65	2	water
467	65	female	15	2	20	1.5	8	40	0	water
468	65	female	25	7	1	1.5	8.5	0	0	water
469	59	male	6	8	20	0.5	8	0	30	pop
470	69.5	female	15	3	50	0	9	27	4	water
471	65	female	20	5	25	-0.5	8	20	15	milk
472	71	male	17	6	10	0	8	0	15	water
473	62	female	35	7	20	0.5	8.5	115	0	water
474	63	female	NA	2	20	0.5	7	50	30	water
475	72	male	6	5	10	1	8	0	0	water
476	61	male	3	3	35	-0.5	8.5	0	17.5	water
477	65	female	10	7	2	0	8.5	0	0	milk
478	60	female	12	7	20	0.5	9	21	10	milk
479	64	female	15	4	20	1	8.5	15	0	water
480	67	female	5	7	15	0	7	12	17.5	water
481	65	female	10	5	10	-0.5	8.5	95	0	pop
482	63	female	63	4	73	1.5	8.5	24	12.5	water
483	61	female	27.5	7	12	4	9	10	0	water
484	60.5	female	2	3	0	1.5	5.5	0	0	milk
485	63	female	30	7	20	-0.5	7	10.5	0	water
486	65	female	25	5	5	1	8	25	25	milk
487	68	female	15	9	12	1.5	7.5	35	25	water
488	64	female	30	5	40	-0.5	8.5	135	15	pop
489	72	male	15	7	122	1	10	15	0	pop
490	65	female	6	9	12	-0.5	7	35	8	water
491	62	female	10	7	6	1	8	15	12.5	water
492	68	female	9	8	3	1.5	9	20	0	pop
493	64	female	20	6	30	0.5	8.5	85	0	pop
494	62	female	20	5	0	1.5	7.5	55	17	pop
495	65	female	18	7	10	0	8	25	10	milk
496	62	female	13	4	0	1.5	8	23	0	water
497	70	male	5	8	137	1.5	7.5	0	25	water
498	56	female	16	6	20	1.5	8.5	17	0	pop
499	72	male	5	2	80	0.5	7.5	13	20	water
500	71	male	5	7	6	1	8	15	16	water
501	71	male	7	2	500	1	8	16	10	water
502	74	male	NA	5	30	4	8.5	14	27.5	water
503	63	female	10	7	30	2.5	8	30	0	pop
504	68	female	14	3	8	2.5	8	30	10	water
505	60	female	20	2	25	0	7.5	50	10	pop
506	69.5	female	30	2	10	0.5	6.5	0	20	milk
507	69	female	23	9	6	0	8	10	6	water
508	70	male	21	3	14	0	7	10	17.5	NA
509	70	male	3	9	25	1.5	11.5	25	0	milk
510	67	male	5	7	30	1.5	10.5	8	4	water
511	75	male	10	3	15	1	9	10	0	pop
512	65	female	35	7	25	2.5	11	95	20	water
513	66	female	8	7	5	0.5	9.5	18	10	water
514	72	male	4	6	0	-2	8	14	20	milk
515	64	female	15	9	15	1	8.5	20	NA	water
516	73	male	8	8	4	1	8.5	0	8	water
517	71	male	5	7	15	1.5	8	15	20	water
518	62	female	15	5	3	0.5	9.5	20	15	water
519	67	male	6	9	40	1	10.5	12	20	water
520	65	female	20	5	6	2.5	11	90	10	milk
521	65	female	10	4	35	-1	7.5	0	20	water
522	68	female	10	7	15	2.5	9	40	0	water
523	66	female	15	7	20	1	7	16	25	pop
524	75	male	4	2	20	3.5	9.5	5	11	water
525	69	male	3	7	30	-0.5	9.5	20	0	pop
526	66.5	female	NA	7	NA	0	7.5	0	14	water
527	63	female	12	7	5	0.5	8.5	25	12	milk
528	65	female	20	7	8	2	7.5	70	11	milk
529	78	male	2	7	200	-2	7	12	NA	milk
530	62	female	10	5	40	-1	6.5	16	0	milk
531	70	male	6	7	10	2	7.5	11	0	pop
532	60	female	15	2	1	2.5	9.5	91	0	water
533	70	male	3	5	10	0	7	9	12	pop
534	64	female	20	3	40	0.5	9	20	0	milk
535	63	female	40	4	2	0.3	7.5	25	40	NA
536	64	female	20	2	15	-0.5	7	30	0	milk
537	65	female	10	7	25	1.5	10.5	30	5	pop
538	63	female	30	6	20	1	11	50	15	water
539	74	male	5	4	67	1.5	10.5	14	20	water
540	72	male	4	NA	15	4.5	8	13	15	pop
541	76	male	10	7	20	5.5	9.5	12	20	milk
542	70	female	35	8	25	0	8.5	85	20	pop
543	65	female	15	2	20	1.5	8	13	10	water
544	68	male	6	9	20	1	8	16	NA	milk
545	69	female	10	5	5	-0.5	8	31	NA	water
546	73	male	6	9	13	2	8	5	15	pop
